Tip Matrice,Nr threads,Timp executie
10 10 3,2 both,3510 739400 371455
1000 1000 3,2 both,23461420 17204560 20332990
1000 1000 3,4 both,23732640 12553380 18143010
1000 1000 3,8 both,23847010 11269130 17558070
1000 1000 3,16 both,25193280 10508600 17850940
1000 1000 3,16 both,27029850 11645080 19337465
1000 1000 3,16 both,26058340 10201120 18129730
10 10 3,2 both,3930 850190 427060
10 10 3,2 both,3540 846510 1770.423255
10 10 3,2 both,3480 738710 1740.369355
10 10 3,2 both,3520 734410 368965
10 10 3,2 both,3540 934300 468920
10 10 3,2 both,3540 748150 375845
1000 1000 3,8 both,26942900 10570360 18756630
100 100 3,8 both,16.61477 54.26798 35.441375
100 100 3,8 both,16920120 46348110 31634115
100 100 3,16 both,16962360 57630190 37296275
100 100 3,16 both,17289520 52709700 34999610
1000 1000 3,16 both,2302226830 17372120000 9837173415
1000 1000 3,5 sequence,2203520600
1000 1000 3,5 sequence,1838.53
1000 1000 3,9 sequence,1948.33
1000 1000 3,21 sequence,1963.29
1000 1000 3,5 parallel,5266.83
1000 1000 3,9 parallel,6606.19
1000 1000 3,21 parallel,11484.3
1000 1000 3,21 parallel,0
1000 1000 3,5 parallel,0
1000 1000 3,5 parallel,6349.69
1000 1000 3,5 sequence,0
1000 1000 3,21 sequence,0
